fuseB737
1	0.428571429
0.992156863	0.523809524
0.97535014	0.555555556
0.939495798	0.576719577
0.8767507	0.608465608
0.799439776	0.608465608
0.750140056	0.613756614
0.2	0.613756614
0.155182073	0.608465608
0.124929972	0.576719577
0.099159664	0.523809524
0.080112045	0.476190476
0.062184874	0.407407407
0.047619048	0.322751323
0.03977591	0.243386243
0.026330532	0.19047619
0.014005602	0.132275132
0.005042017	0.068783069
0	0
0.005042017	-0.074074074
0.014005602	-0.132275132
0.025210084	-0.185185185
0.042016807	-0.243386243
0.059943978	-0.291005291
0.083473389	-0.343915344
0.108123249	-0.375661376
0.124929972	-0.386243386
0.147338936	-0.386243386
0.159663866	-0.386243386
0.257142857	-0.386243386
0.696358543	-0.386243386
0.725490196	-0.365079365
0.774789916	-0.301587302
0.80952381	-0.238095238
0.844257703	-0.174603175
0.890196078	-0.058201058
0.928291317	0.037037037
0.96302521	0.137566138
0.98767507	0.211640212
0.994957983	0.264550265
1	0.428571429
